scenario,week,available_hours,used_hours,unconstrained_load_hours,overload_hours,known_open_orders,rescheduling_enabled
1,25,25.0,23.0,62.0,37.0,69,0
1,26,25.0,9.0,62.0,37.0,50,0
2,1,22.0,20.0,20.0,0,442,0
2,2,22.0,20.0,20.0,0,426,0
2,3,22.0,20.0,20.0,0,410,0
2,4,22.0,20.0,20.0,0,394,0
2,5,22.0,20.0,20.0,0,378,0
2,6,22.0,20.0,20.0,0,362,0
2,7,22.0,20.0,20.0,0,346,0
2,8,22.0,20.0,20.0,0,330,0
2,9,22.0,20.0,20.0,0,314,0
2,10,22.0,22.0,22.0,0,327,0
2,11,22.0,21.0,21.0,0,309,0
2,12,22.0,22.0,22.0,0,292,0
2,13,22.0,21.0,21.0,0,274,0
2,14,25.0,23.0,24.0,0,257,0
2,15,25.0,17.5,25.0,0,238,0
2,16,25.0,18.5,30.5,5.5,222,0
2,17,25.0,20.0,36.0,11.0,206,0
2,18,25.0,20.0,40.0,15.0,190,0
2,19,25.0,24.0,44.0,19.0,174,0
2,20,25.0,25.0,44.0,19.0,154,0
2,21,25.0,23.0,42.0,17.0,133,0
2,22,25.0,24.0,43.0,18.0,114,0
2,23,25.0,24.0,43.0,18.0,94,0
2,24,25.0,22.0,43.0,18.0,74,0
2,25,25.0,23.0,45.0,20.0,56,0
2,26,25.0,23.0,45.0,20.0,37,0
3,1,22.0,20.0,20.0,0,442,0
3,2,22.0,20.0,20.0,0,426,0
3,3,22.0,20.0,20.0,0,410,0
3,4,22.0,20.0,20.0,0,394,0
3,5,22.0,20.0,20.0,0,378,0
3,6,22.0,20.0,20.0,0,362,0
3,7,22.0,20.0,20.0,0,346,0
3,8,22.0,20.0,20.0,0,330,0
3,9,22.0,20.0,20.0,0,314,0
3,10,22.0,22.0,22.0,0,327,1
3,11,22.0,22.0,21.0,0,309,1
3,12,22.0,22.0,21.0,0,291,1
3,13,22.0,21.0,20.0,0,273,1
3,14,25.0,21.5,23.0,0,256,1
3,15,25.0,12.0,25.5,0.5,238,1
3,16,25.0,15.5,36.5,11.5,226,1
3,17,25.0,15.0,45.0,20.0,214,1
3,18,25.0,14.5,54.0,29.0,202,1
3,19,25.0,23.0,63.5,38.5,190,1
3,20,25.0,22.5,64.5,39.5,172,1
3,21,25.0,23.0,65.0,40.0,153,1
3,22,25.0,22.0,66.0,41.0,135,1
3,23,25.0,19.5,68.0,43.0,117,1
3,24,25.0,20.5,72.5,47.5,99,1
3,25,25.0,22.5,76.0,51.0,81,1
3,26,25.0,23.5,76.5,51.5,62,1
4,1,22.0,20.0,20.0,0,442,0
4,2,22.0,20.0,20.0,0,426,0
4,3,22.0,20.0,20.0,0,410,0
4,4,22.0,20.0,20.0,0,394,0
4,5,22.0,20.0,20.0,0,378,0
4,6,22.0,20.0,20.0,0,362,0
4,7,22.0,20.0,20.0,0,346,0
4,8,22.0,20.0,20.0,0,330,0
4,9,22.0,20.0,20.0,0,314,0
4,10,22.0,22.0,22.0,0,327,1
4,11,22.0,22.0,21.0,0,309,1
4,12,22.0,22.0,21.0,0,291,1
4,13,22.0,21.0,20.0,0,273,1
4,14,25.0,21.5,23.0,0,256,1
4,15,25.0,22.0,25.5,0.5,238,1
4,16,25.0,23.5,26.5,1.5,219,1
4,17,25.0,21.5,27.0,2.0,201,1
4,18,25.0,21.0,29.5,4.5,183,1
4,19,25.0,21.0,32.5,7.5,165,1
4,20,25.0,23.5,35.5,10.5,147,1
4,21,25.0,21.5,35.0,10.0,128,1
4,22,25.0,21.5,37.5,12.5,110,1
4,23,25.0,20.0,40.0,15.0,92,1
4,24,25.0,20.5,44.0,19.0,74,1
4,25,25.0,23.0,47.5,22.5,56,1
4,26,25.0,23.0,47.5,22.5,37,1
